Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;9;13;;;OUI;OUI;2022-03-10T17:57:32+01:00;;;
;;OUI;;3;19;;;OUI;OUI;2022-03-10T17:58:04+01:00;;;
;;OUI;;50;9;;;OUI;OUI;2022-03-10T17:58:04+01:00;;;
;;OUI;;27;6;;;OUI;OUI;2022-03-10T17:57:34+01:00;;;
;;OUI;;14;25;;;OUI;OUI;2022-03-10T17:58:49+01:00;;;
;;OUI;;32;1;;;OUI;OUI;2022-03-10T17:57:44+01:00;;;
;;OUI;;16;6;;;OUI;OUI;2022-03-10T17:57:47+01:00;;;
;;OUI;;1;21;;;OUI;OUI;2022-03-10T17:56:27+01:00;;;
;;OUI;;7;42;;;OUI;OUI;2022-03-10T17:52:21+01:00;;;
;;OUI;;29;34;;;OUI;OUI;2022-03-10T17:57:53+01:00;;;
;;OUI;;24;1;;;OUI;OUI;2022-03-10T17:52:55+01:00;;;
;;OUI;;34;18;;;OUI;OUI;2022-03-10T17:58:46+01:00;;;
;;OUI;;20;0;;;OUI;OUI;2022-03-10T17:58:37+01:00;;;
;;OUI;;28;2;;;OUI;OUI;2022-03-10T17:58:28+01:00;;;
;;OUI;;34;6;;;OUI;OUI;2022-03-10T17:54:59+01:00;;;
;;OUI;;28;6;;;OUI;OUI;2022-03-10T17:57:27+01:00;;;
;;OUI;;16;7;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;22;4;;;OUI;OUI;2022-03-10T17:58:29+01:00;;;
;;OUI;;37;5;;;OUI;OUI;2022-03-10T17:57:04+01:00;;;
;;OUI;;9;18;;;OUI;OUI;2022-03-10T17:57:43+01:00;;;
;;OUI;;16;3;;;OUI;OUI;2022-03-10T17:57:46+01:00;;;
;;OUI;;4;30;;;OUI;OUI;2022-03-10T17:58:10+01:00;;;
;;OUI;;14;21;;;OUI;OUI;2022-03-10T17:57:09+01:00;;;
;;OUI;;14;19;;;OUI;OUI;2022-03-10T17:57:08+01:00;;;
